,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
176,Kshema Power And Infrastructure Company,3.9,75,Power,Kochi/Cochin +13 more,Kochi/Cochin +13 more,51-200 Employees
177,Dezire Research,4.4,75,Investment Banking / Venture Capital / Private Equity,Indore +1 more,Indore +1 more,51-200 Employees
178,KMC HOSPITAL,4.0,75,Healthcare,Coimbatore +13 more,Coimbatore +13 more,501-1k Employees
179,Areteans,3.6,75,IT Services & Consulting,Kondapur +6 more,Kondapur +6 more,501-1k Employees
180,Delta Power Solutions,4.3,75,Electronics Manufacturing,Taiwan +12 more,Taiwan +12 more,501-1k Employees
181,FANUC,3.9,75,Industrial Machinery,Oshino +10 more,67 years old,201-500 Employees
182,Coviam,4.3,75,IT Services & Consulting,Bangalore/Bengaluru +3 more,Bangalore/Bengaluru +3 more,51-200 Employees
183,Miric Biotech,2.0,75,Healthcare,Delhi/NCR +17 more,Delhi/NCR +17 more,1-10 Employees
184,Hestabit Technologies,4.4,75,IT Services & Consulting,London +2 more,London +2 more,51-200 Employees
185,RDM India,3.1,75,Aviation,New Delhi +3 more,New Delhi +3 more,501-1k Employees
186,Skanray Technologies,3.7,75,Medical Equipment,Mysore +13 more,Mysore +13 more,201-500 Employees
187,Orient Blackswan,4.4,75,Printing & Publishing,Hyderabad +16 more,Hyderabad +16 more,501-1k Employees
188,Nando's,4.2,75,Hospitality,Putney +10 more,Putney +10 more,11-50 Employees
189,Biorad Medisys,4.0,75,Healthcare,Mumbai +10 more,Mumbai +10 more,51-200 Employees
190,Alps Industries,3.5,75,Fashion & Textile,Ghaziabad +7 more,61 years old,201-500 Employees
191,Jekson Vision,3.9,75,Software Product,Ahmedabad +3 more,Ahmedabad +3 more,201-500 Employees
192,V2soft,3.9,75,IT Services & Consulting,Bloomfield Hills +4 more,Bloomfield Hills +4 more,51-200 Employees
193,Golden Star Facilities and Services,4.4,75,Facility Management Services,Hyderabad +11 more,Hyderabad +11 more,51-200 Employees
194,SKYMAP PHARMACEUTICALS,3.9,75,Pharma,Faridabad +3 more,Faridabad +3 more,51-200 Employees
195,Rakshit Drugs,3.1,75,Pharma,Hyderabad +3 more,Hyderabad +3 more,201-500 Employees
196,Maiyas Beverages Foods,3.4,75,FMCG,Bengaluru +11 more,Bengaluru +11 more,201-500 Employees
197,Lazza Ice Creams,3.6,75,Food Processing,Cochin  +18 more,Cochin  +18 more,1k-5k Employees
198,Ami Organics,3.9,75,Pharma,Surat +1 more,16 years old,201-500 Employees
199,Shrachi Group,3.3,75,Real Estate,Kolkata +10 more,Kolkata +10 more,51-200 Employees
200,Usha Armour,3.6,76,Law Enforcement & Security,Bengaluru +3 more,Bengaluru +3 more,201-500 Employees
201,"Cmc Limited, A Tata Enterprise",4.7,76,Engineering & Construction,Hyderabad +19 more,Hyderabad +19 more,5k-10k Employees
202,Aljaber Engineering,3.9,76,Engineering & Construction,Doha +5 more,Doha +5 more,5k-10k Employees
203,Mcpi,4.0,76,Chemicals,Kolkata +2 more,Kolkata +2 more,501-1k Employees
204,Pacific Global,3.9,76,FinTech,Noida +5 more,Noida +5 more,1k-5k Employees
205,Varrsana Ispat,3.4,76,Engineering & Construction,New Delhi +5 more,23 years old,501-1k Employees
206,Crif Solutions,3.7,76,Analytics & KPO,Bologna +1 more,Bologna +1 more,201-500 Employees
207,Bestech Group,3.7,76,Real Estate,Gurgaon/Gurugram +3 more,33 years old,1k-5k Employees
208,Techflow Engineers India,4.4,76,Iron & Steel,Navi Mumbai +10 more,Navi Mumbai +10 more,201-500 Employees (Global)
209,Telecomone Teleservices,3.9,76,Telecom,Bengaluru +18 more,Bengaluru +18 more,501-1k Employees (Global)
210,Omni Hospital,3.8,76,Healthcare,Hyderabad +5 more,Hyderabad +5 more,501-1k Employees
211,OVT India,3.7,76,Electrical Equipment,Noida +3 more,Noida +3 more,501-1k Employees
212,Alphamed Formulations,4.4,76,Pharma,Hyderabad/Secunderabad +3 more,Hyderabad/Secunderabad +3 more,201-500 Employees
213,BrowserStack,3.7,76,IT Services & Consulting,Mumbai +2 more,12 years old,201-500 Employees
214,Accu Pack Engineering,3.5,76,Engineering & Construction,Navi Mumbai +4 more,Navi Mumbai +4 more,11-50 Employees
215,Huber Suhner Electronics,3.9,76,Electrical Equipment,Pfäffikon +5 more,Pfäffikon +5 more,51-200 Employees
216,TEXILA AMERICAN UNIVERSITY,4.4,76,Education & Training,Guyana +5 more,Guyana +5 more,11-50 Employees
217,Utracon Structural Systems,4.2,76,Engineering & Construction,Singapore +14 more,Singapore +14 more,51-200 Employees
218,Medgulf Construction Company,3.8,76,Engineering & Construction,Doha +6 more,Doha +6 more,1k-5k Employees (Global)
219,AMPLUS SOLAR,4.5,76,Internet,Gurgaon +9 more,Gurgaon +9 more,501-1k Employees
220,LNJ Bhilwara Group,4.0,76,Fashion & Textile,Noida +16 more,63 years old,1k-5k Employees
